MA,netAsset
120,10184412.968725042
121,9750370.990795048
122,9826425.209560046
123,9233336.05399006
124,9334500.083945062
125,9297555.74721006
126,8958381.24152005
127,8428083.777335066
128,8324778.613370037
129,8488177.305810044
130,8324657.383125052
131,8273430.067185038
132,8607831.755790044
133,9307453.980690047
134,9453842.604045058
135,9482739.320810057
136,10199957.549620064
137,9237435.276235059
138,9013327.89027504
139,9743700.488325039
140,9431979.127550056
141,10199783.489900056
142,10526172.627310056
143,10268261.399195056
144,10183928.677910047
145,10402152.804510048
146,10617292.40385005
147,11431200.295160057
148,11777483.55318504
149,11360626.83562504
150,11581235.531330036
151,11557786.608070033
152,11005070.720995033
153,9738951.226460041
154,9634046.547050038
155,9698675.295510037
156,9486259.70628503
157,9720935.190890037
158,9312616.461185036
159,9413568.502375038
160,9583432.136565031
161,9683031.606525034
162,9769537.480595037
163,8857547.431275042
164,8832503.031160042
165,8874789.965175034
166,9388388.801185038
167,9135204.58969004
168,9104128.01178003
169,8492197.68460003
170,7968588.626775024
171,7642955.716485024
172,7774525.09968503
173,7725907.095650031
174,7909108.780895027
175,7405869.41850003
176,7738193.298200028
177,7466620.993900031
178,7239845.40996503
179,6887815.564470031
180,6663130.329480023
181,7363171.294695031
182,7918905.0615950385
183,8002541.198655032
184,7621636.529890031
185,7057192.621450027
186,7443979.13200003
187,7515345.531985032
188,7403069.059730035
189,7548437.02273004
190,7970835.544095043
191,8045356.363830032
192,8254819.455905032
193,8501487.947730035
194,8765681.129125038
195,9295250.936530037
196,9074152.532320043
197,9858720.907240035
198,9962924.224690031
199,9769386.379725028
200,9381773.598765036
201,9285949.12217504
202,9742825.358745033
203,9600239.713515036
204,9818647.730025029
205,10204117.14467003
206,10173007.115590034
207,10755887.494930029
208,10431288.129215028
209,9869631.04272003
210,9231498.455310028
211,9411449.007355021
212,9441549.310970029
213,9981152.362275025
214,9699467.715070026
215,9447418.82677002
216,9417559.67748503
217,9886830.06988003
218,9216127.114165023
219,9644085.83833002
220,9449070.705200015
221,9234865.50362502
222,9212056.44448502
223,9536788.264115022
224,9536788.264115022
225,9696099.572050016
226,9851968.006710015
227,9596241.475580018
228,9625168.96323502
229,8929886.747040018
230,9142438.441155015
231,8159238.643565023
232,7971338.239635013
233,8004621.504005012
234,7604956.452090021
235,7577482.600520021
236,7998290.430685018
237,7822013.310125019
238,7629817.347900016
239,7556961.369780022
240,7340011.523390014
