样本内数据年份数,步长/月,样本内开始,样本内结束,样本外开始,样本外结束,最佳短期均线,最佳中期均线,样本内净资产
9,1,2005-01-04,2013-12-31,2014-01-02,2014-01-30,3,40,5557427.734950021
9,1,2005-02-01,2014-01-30,2014-02-07,2014-02-28,3,40,5557427.734950021
9,1,2005-03-01,2014-02-28,2014-03-03,2014-03-31,4,42,5301235.507950021
9,1,2005-04-01,2014-03-31,2014-04-01,2014-04-30,4,42,5526440.116960017
9,1,2005-05-09,2014-04-30,2014-05-05,2014-05-30,4,42,5511511.251175018
9,1,2005-06-01,2014-05-30,2014-06-03,2014-06-30,3,40,5357430.777425021
9,1,2005-07-01,2014-06-30,2014-07-01,2014-07-31,3,40,5522416.847150022
9,1,2005-08-01,2014-07-31,2014-08-01,2014-08-29,3,40,5717087.882300019
9,1,2005-09-01,2014-08-29,2014-09-01,2014-09-30,3,40,5375866.9123500185
9,1,2005-10-10,2014-09-30,2014-10-08,2014-10-31,14,21,5555810.777060025
9,1,2005-11-01,2014-10-31,2014-11-03,2014-11-28,3,40,5415771.597650028
9,1,2005-12-01,2014-11-28,2014-12-01,2014-12-31,3,40,6232316.422025029
9,1,2006-01-04,2014-12-31,2015-01-05,2015-01-30,3,40,8052695.924350021
9,1,2006-02-06,2015-01-30,2015-02-02,2015-02-27,14,21,7210474.648640023
9,1,2006-03-01,2015-02-27,2015-03-02,2015-03-31,2,65,6872156.2329700235
9,1,2006-04-03,2015-03-31,2015-04-01,2015-04-30,14,21,8186288.886720028
9,1,2006-05-08,2015-04-30,2015-05-04,2015-05-29,14,21,8768132.943690026
9,1,2006-06-01,2015-05-29,2015-06-01,2015-06-30,14,21,7575582.192885018
9,1,2006-07-03,2015-06-30,2015-07-01,2015-07-31,14,21,7698628.1381200235
9,1,2006-08-01,2015-07-31,2015-08-03,2015-08-31,13,23,7480805.43063002
9,1,2006-09-01,2015-08-31,2015-09-01,2015-09-30,13,23,7497649.25125002
9,1,2006-10-09,2015-09-30,2015-10-08,2015-10-30,13,23,6701645.286410016
9,1,2006-11-01,2015-10-30,2015-11-02,2015-11-30,13,23,6691327.702405015
9,1,2006-12-01,2015-11-30,2015-12-01,2015-12-31,13,23,5656383.365250011
9,1,2007-01-04,2015-12-31,2016-01-04,2016-01-29,13,23,4458360.494320011
9,1,2007-02-01,2016-01-29,2016-02-01,2016-02-29,13,23,3664373.25051001
9,1,2007-03-01,2016-02-29,2016-03-01,2016-03-31,3,40,3456643.207135008
9,1,2007-04-02,2016-03-31,2016-04-01,2016-04-29,13,23,3317088.0940500116
9,1,2007-05-08,2016-04-29,2016-05-03,2016-05-31,13,23,2670264.9200700093
9,1,2007-06-01,2016-05-31,2016-06-01,2016-06-30,13,23,2564340.2720300076
9,1,2007-07-02,2016-06-30,2016-07-01,2016-07-29,12,23,2589860.4624800067
9,1,2007-08-01,2016-07-29,2016-08-01,2016-08-31,12,23,2477739.035470007
9,1,2007-09-03,2016-08-31,2016-09-01,2016-09-30,12,23,1980403.4737950063
9,1,2007-10-08,2016-09-30,2016-10-10,2016-10-31,12,23,1879439.1797700056
9,1,2007-11-01,2016-10-31,2016-11-01,2016-11-30,12,23,1802512.8925750055
9,1,2007-12-03,2016-11-30,2016-12-01,2016-12-30,12,23,2063473.4617500051
9,1,2008-01-02,2016-12-30,2017-01-03,2017-01-26,12,23,1850231.2226900037
9,1,2008-02-01,2017-01-26,2017-02-03,2017-02-28,12,23,2086615.5780550072
9,1,2008-03-03,2017-02-28,2017-03-01,2017-03-31,12,23,2092516.1580550072
9,1,2008-04-01,2017-03-31,2017-04-05,2017-04-28,12,23,2067315.9583450074
9,1,2008-05-05,2017-04-28,2017-05-02,2017-05-31,12,23,2037385.8619850078
9,1,2008-06-02,2017-05-31,2017-06-01,2017-06-30,12,23,2437176.110335006
9,1,2008-07-01,2017-06-30,2017-07-03,2017-07-31,12,23,2506860.9803350056
9,1,2008-08-01,2017-07-31,2017-08-01,2017-08-31,12,23,2696359.9777750084
9,1,2008-09-01,2017-08-31,2017-09-01,2017-09-29,12,23,2755731.718005007
9,1,2008-10-06,2017-09-29,2017-10-09,2017-10-31,12,23,2703041.012630007
9,1,2008-11-03,2017-10-31,2017-11-01,2017-11-30,12,23,2775570.0752150076
9,1,2008-12-01,2017-11-30,2017-12-01,2017-12-29,12,23,2943181.480775008
9,1,2009-01-05,2017-12-29,2018-01-02,2018-01-31,12,23,2835008.5906050075
9,1,2009-02-02,2018-01-31,2018-02-01,2018-02-28,8,35,2969548.816635007
9,1,2009-03-02,2018-02-28,2018-03-01,2018-03-30,8,35,2667181.6164550073
9,1,2009-04-01,2018-03-30,2018-04-02,2018-04-27,1,34,2396615.237425016
9,1,2009-05-04,2018-04-27,2018-05-02,2018-05-31,1,34,2316265.240535018
9,1,2009-06-01,2018-05-31,2018-06-01,2018-06-29,1,34,2165121.0490950127
9,1,2009-07-01,2018-06-29,2018-07-02,2018-07-31,1,34,1808900.108445012
9,1,2009-08-03,2018-07-31,2018-08-01,2018-08-31,1,34,1518758.02613501
9,1,2009-09-01,2018-08-31,2018-09-03,2018-09-28,13,100,1702928.0753600013
9,1,2009-10-09,2018-09-28,2018-10-08,2018-10-31,12,23,1745207.8653950067
9,1,2009-11-02,2018-10-31,2018-11-01,2018-11-30,11,100,1767775.9237300016
9,1,2009-12-01,2018-11-30,2018-12-03,2018-12-28,12,100,1652364.662290001
9,1,2010-01-04,2018-12-28,2019-01-02,2019-01-31,12,100,1586222.2777600016
9,1,2010-02-01,2019-01-31,2019-02-01,2019-02-28,12,100,1761067.1095250007
9,1,2010-03-01,2019-02-28,2019-03-01,2019-03-29,12,100,1943184.0025250006
9,1,2010-04-01,2019-03-29,2019-04-01,2019-04-30,12,100,2010118.322525001
9,1,2010-05-04,2019-04-30,2019-05-06,2019-05-31,12,100,2085683.1625250007
9,1,2010-06-01,2019-05-31,2019-06-03,2019-06-28,12,100,1932549.8425250007
9,1,2010-07-01,2019-06-28,2019-07-01,2019-07-31,12,100,2075318.0425250009
9,1,2010-08-02,2019-07-31,2019-08-01,2019-08-30,12,100,2062616.5225250006
9,1,2010-09-01,2019-08-30,2019-09-02,2019-09-30,12,100,1986501.922235001
9,1,2010-10-08,2019-09-30,2019-10-08,2019-10-31,12,100,1999950.0222350007
9,1,2010-11-01,2019-10-31,2019-11-01,2019-11-29,12,100,1996857.1202100017
9,1,2010-12-01,2019-11-29,2019-12-02,2019-12-31,12,100,2175266.349385001
9,1,2011-01-04,2019-12-31,2020-01-02,2020-01-23,12,100,2314722.624380002
9,1,2011-02-01,2020-01-23,2020-02-03,2020-02-28,12,100,2216021.474380002
9,1,2011-03-01,2020-02-28,2020-03-02,2020-03-31,12,100,2137203.4343550024
9,1,2011-04-01,2020-03-31,2020-04-01,2020-04-30,12,100,2095356.0939650016
9,1,2011-05-03,2020-04-30,2020-05-06,2020-05-29,12,100,2071794.9379300026
9,1,2011-06-01,2020-05-29,2020-06-01,2020-06-30,12,100,2139767.0059450027
9,1,2011-07-01,2020-06-30,2020-07-01,2020-07-31,12,100,2151051.756310003
9,1,2011-08-01,2020-07-31,2020-08-03,2020-08-31,12,100,2375666.126310003
9,1,2011-09-01,2020-08-31,2020-09-01,2020-09-30,12,100,2444782.176310003
9,1,2011-10-10,2020-09-30,2020-10-09,2020-10-30,12,100,2363297.606310003
9,1,2011-11-01,2020-10-30,2020-11-02,2020-11-30,12,100,2398356.366310003
9,1,2011-12-01,2020-11-30,2020-12-01,2020-12-31,12,100,2536544.606310003
9,1,2012-01-04,2020-12-31,2021-01-04,2021-01-29,12,100,2661706.426310003
9,1,2012-02-01,2021-01-29,2021-02-01,2021-02-26,12,100,2714784.336310003
9,1,2012-03-01,2021-02-26,2021-03-01,2021-03-31,12,100,2657163.803255002
9,1,2012-04-05,2021-03-31,2021-04-01,2021-04-30,12,100,2655729.9556050017
9,1,2012-05-02,2021-04-30,2021-05-06,2021-05-31,12,100,2441967.3320600027
9,1,2012-06-01,2021-05-31,2021-06-01,2021-06-30,12,100,2497666.294475003
9,1,2012-07-02,2021-06-30,2021-07-01,2021-07-30,9,99,2563922.177085003
9,1,2012-08-01,2021-07-30,2021-08-02,2021-08-31,9,99,2563922.177085003
9,1,2012-09-03,2021-08-31,2021-09-01,2021-09-30,9,99,2563922.177085003
9,1,2012-10-08,2021-09-30,2021-10-08,2021-10-29,9,99,2563922.177085003
9,1,2012-11-01,2021-10-29,2021-11-01,2021-11-30,9,99,2563922.177085003
9,1,2012-12-03,2021-11-30,2021-12-01,2021-12-31,9,99,2563922.177085003
9,1,2013-01-04,2021-12-31,2022-01-04,2022-01-28,12,100,2305266.1694200025
9,1,2013-02-01,2022-01-28,2022-02-07,2022-02-28,12,100,2105509.093085001
9,1,2013-03-01,2022-02-28,2022-03-01,2022-03-31,12,100,2134021.2001200025
9,1,2013-04-01,2022-03-31,2022-04-01,2022-04-29,12,100,2343849.3556050025
9,1,2013-05-02,2022-04-29,2022-05-05,2022-05-31,12,100,2364258.6382800024
9,1,2013-06-03,2022-05-31,2022-06-01,2022-06-30,12,100,2364258.6382800024
9,1,2013-07-01,2022-06-30,2022-07-01,2022-07-29,12,100,2398969.2112400024
9,1,2013-08-01,2022-07-29,2022-08-01,2022-08-31,12,100,2226042.6252400023
9,1,2013-09-02,2022-08-31,2022-09-01,2022-09-30,12,100,2226042.6252400023
